image_name,render_path,original_path,render_resolution,original_resolution,resize_note,psnr_db,ssim
AS17-137-20903HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20903HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20903HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,30.2184,0.942492
AS17-137-20904HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20904HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20904HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,30.1798,0.93119
AS17-137-20905HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20905HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20905HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,32.4206,0.938221
AS17-137-20906HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20906HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20906HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,31.0785,0.927318
AS17-137-20907HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20907HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20907HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,34.5197,0.959021
AS17-137-20908HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20908HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20908HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,33.1162,0.967477
AS17-137-20909HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag137/AS17-137-20909HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag137/AS17-137-20909HR.png,1170x1182,2340x2364,original downsampled 2340x2364 to 1170x1182,33.7042,0.968567
AS17-138-21030HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21030HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21030HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,36.5072,0.968791
AS17-138-21031HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21031HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21031HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,35.2978,0.948494
AS17-138-21032HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21032HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21032HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,33.4641,0.918583
AS17-138-21033HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21033HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21033HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,34.968,0.906853
AS17-138-21034HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21034HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21034HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,36.1948,0.926266
AS17-138-21035HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21035HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21035HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,35.9596,0.94972
AS17-138-21037HR,/home/jatin-satyam/ses598-apollo17/renders_n15/train/rgb/mag138/AS17-138-21037HR.png,/home/jatin-satyam/ses598-apollo17/data/rgb/mag138/AS17-138-21037HR.png,1170x1172,2340x2345,original downsampled 2340x2345 to 1170x1172,37.3562,0.949287
