[INFO] [launch]: All log files can be found below /home/jatin-satyam/.ros/log/2026-02-27-13-09-40-805724-jatin-satyam-OMEN-by-HP-Gaming-Laptop-16-wf0xxx-6037
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [python3-1]: process started with pid [6041]
[INFO] [python3-2]: process started with pid [6042]
[python3-2] [INFO] [1772222982.191734205] [cylinder_mission_node]: Camera intrinsics received.
[python3-2] QSocketNotifier: Can only be used with threads started with QThread
[python3-2] [INFO] [1772222982.566047063] [cylinder_mission_node]: Locked battery_at_mission_start: 0.9889
[python3-2] [INFO] [1772222982.566401528] [cylinder_mission_node]: Intrinsics and battery OK. Moving to ARM_TAKEOFF.
[python3-2] [INFO] [1772222983.055669397] [cylinder_mission_node]: Offboard mode command sent
[python3-2] [INFO] [1772222983.056057695] [cylinder_mission_node]: Arm command sent
[python3-2] [INFO] [1772222997.055901738] [cylinder_mission_node]: Vertical takeoff complete. Proceeding to circle entry point.
[python3-2] [INFO] [1772223003.456337598] [cylinder_mission_node]: Reached circle entry point. Switching to CIRCLE.
[python3-2] [INFO] [1772223017.303045385] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772223021.361017172] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772223028.455461529] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772223028.456345550] [cylinder_mission_node]: [Cylinder Dimensions] Width=2.35 m, Height=7.00 m
[python3-2] [INFO] [1772223028.457109505] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772223028.457782525] [cylinder_mission_node]: Rejoining circle from theta = -2.68 rad
[python3-2] [INFO] [1772223034.500989950] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772223042.455785840] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772223049.460168719] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772223049.461593413] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.08 m, Height=10.05 m
[python3-2] [INFO] [1772223049.462744771] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772223049.463979266] [cylinder_mission_node]: Rejoining circle from theta = 2.66 rad
[python3-2] [INFO] [1772223076.152246697] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772223084.665369584] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772223091.757390377] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772223091.758492530] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.81 m, Height=7.03 m
[python3-2] [INFO] [1772223091.759332071] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772223091.760242829] [cylinder_mission_node]: Rejoining circle from theta = -2.55 rad
[python3-2] [INFO] [1772223097.792368904] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772223107.356476660] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772223114.456298769] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772223114.457865411] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.08 m, Height=10.05 m
[python3-2] [INFO] [1772223114.459355154] [cylinder_mission_node]: This cylinder matches a previously seen one. Mission done, landing.
[python3-2] [INFO] [1772223121.331294338] [cylinder_mission_node]: Updated Marker 1: x=0.77, y=-5.07, z=8.09
[python3-2] [INFO] [1772223121.371897991] [cylinder_mission_node]: Updated Marker 1: x=0.77, y=-4.99, z=8.09
[python3-2] [INFO] [1772223121.445286833] [cylinder_mission_node]: Updated Marker 1: x=0.78, y=-5.01, z=8.25
[python3-2] [INFO] [1772223121.524531281] [cylinder_mission_node]: Updated Marker 1: x=0.78, y=-4.93, z=8.25
[python3-2] [INFO] [1772223121.580540775] [cylinder_mission_node]: Updated Marker 1: x=0.77, y=-4.89, z=8.3
[python3-2] [INFO] [1772223121.640143181] [cylinder_mission_node]: Updated Marker 1: x=0.77, y=-4.91, z=8.49
[python3-2] [INFO] [1772223121.710221298] [cylinder_mission_node]: Updated Marker 1: x=0.76, y=-4.85, z=8.51
[python3-2] [INFO] [1772223121.776035135] [cylinder_mission_node]: Updated Marker 1: x=0.73, y=-4.74, z=8.43
[python3-2] [INFO] [1772223121.840575416] [cylinder_mission_node]: Updated Marker 1: x=0.74, y=-4.81, z=8.68
[python3-2] [INFO] [1772223121.901068283] [cylinder_mission_node]: Updated Marker 1: x=0.73, y=-4.83, z=8.87
[python3-2] [INFO] [1772223121.972057896] [cylinder_mission_node]: Updated Marker 1: x=0.67, y=-4.58, z=8.51
[python3-2] [INFO] [1772223122.028086398] [cylinder_mission_node]: Updated Marker 1: x=0.69, y=-4.74, z=8.94
[python3-2] [INFO] [1772223122.099202485] [cylinder_mission_node]: Updated Marker 1: x=0.64, y=-4.55, z=8.69
[python3-2] [INFO] [1772223122.174827808] [cylinder_mission_node]: Updated Marker 1: x=0.65, y=-4.7, z=9.12
[python3-2] [INFO] [1772223122.234165486] [cylinder_mission_node]: Updated Marker 1: x=0.63, y=-4.69, z=9.21
[python3-2] [INFO] [1772223122.295340404] [cylinder_mission_node]: Updated Marker 1: x=0.57, y=-4.49, z=8.92
[python3-2] [INFO] [1772223122.353436908] [cylinder_mission_node]: Updated Marker 1: x=0.58, y=-4.66, z=9.38
[python3-2] [INFO] [1772223122.404869294] [cylinder_mission_node]: Updated Marker 1: x=0.55, y=-4.7, z=9.58
[python3-2] [INFO] [1772223122.470420683] [cylinder_mission_node]: Updated Marker 1: x=0.53, y=-4.71, z=9.7
[python3-2] [INFO] [1772223122.530486022] [cylinder_mission_node]: Updated Marker 1: x=0.51, y=-4.7, z=9.78
[python3-2] [INFO] [1772223122.595059233] [cylinder_mission_node]: Updated Marker 1: x=0.46, y=-4.56, z=9.59
[python3-2] [INFO] [1772223122.666180850] [cylinder_mission_node]: Updated Marker 1: x=0.44, y=-4.64, z=9.88
[python3-2] [INFO] [1772223122.736325278] [cylinder_mission_node]: Updated Marker 1: x=0.42, y=-4.7, z=10.09
[python3-2] [INFO] [1772223122.796542717] [cylinder_mission_node]: Updated Marker 1: x=0.39, y=-4.66, z=10.11
[python3-2] [INFO] [1772223122.852400646] [cylinder_mission_node]: Updated Marker 1: x=0.36, y=-4.67, z=10.22
[python3-2] [INFO] [1772223122.917685912] [cylinder_mission_node]: Updated Marker 1: x=0.32, y=-4.54, z=10.02
[python3-2] [INFO] [1772223122.984145336] [cylinder_mission_node]: Updated Marker 1: x=0.3, y=-4.63, z=10.32
[python3-2] [INFO] [1772223123.056147601] [cylinder_mission_node]: Updated Marker 1: x=0.27, y=-4.59, z=10.33
[python3-2] [INFO] [1772223123.179253205] [cylinder_mission_node]: Updated Marker 1: x=0.22, y=-4.56, z=10.45
