[INFO] [launch]: All log files can be found below /home/jatin-satyam/.ros/log/2026-02-27-15-17-48-652643-jatin-satyam-OMEN-by-HP-Gaming-Laptop-16-wf0xxx-5585
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [python3-1]: process started with pid [5589]
[INFO] [python3-2]: process started with pid [5590]
[python3-2] [INFO] [1772230670.066643287] [cylinder_mission_node]: Camera intrinsics received.
[python3-2] QSocketNotifier: Can only be used with threads started with QThread
[python3-2] [INFO] [1772230670.401175568] [cylinder_mission_node]: Locked battery_at_mission_start: 0.9889
[python3-2] [INFO] [1772230670.401601300] [cylinder_mission_node]: Intrinsics and battery OK. Moving to ARM_TAKEOFF.
[python3-2] [INFO] [1772230670.895587501] [cylinder_mission_node]: Offboard mode command sent
[python3-2] [INFO] [1772230670.895927312] [cylinder_mission_node]: Arm command sent
[python3-2] [INFO] [1772230684.794012860] [cylinder_mission_node]: Vertical takeoff complete. Proceeding to circle entry point.
[python3-2] [INFO] [1772230690.993968625] [cylinder_mission_node]: Reached circle entry point. Switching to CIRCLE.
[python3-2] [INFO] [1772230704.658082193] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772230708.793914618] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772230715.799890315] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772230715.800936889] [cylinder_mission_node]: [Cylinder Dimensions] Width=2.20 m, Height=6.98 m
[python3-2] [INFO] [1772230715.801585014] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772230715.802261393] [cylinder_mission_node]: Rejoining circle from theta = -2.64 rad
[python3-2] [INFO] [1772230721.852260286] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772230730.094049422] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772230737.194199597] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772230737.195008641] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.14 m, Height=10.04 m
[python3-2] [INFO] [1772230737.195709825] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772230737.196408000] [cylinder_mission_node]: Rejoining circle from theta = 2.70 rad
[python3-2] [INFO] [1772230764.047206781] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772230771.394548133] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772230778.494599838] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772230778.495884307] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.60 m, Height=7.02 m
[python3-2] [INFO] [1772230778.496971704] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772230778.497888227] [cylinder_mission_node]: Rejoining circle from theta = -2.63 rad
[python3-2] [INFO] [1772230784.537923512] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772230793.894129442] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772230800.902183390] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772230800.903133139] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.08 m, Height=10.05 m
[python3-2] [INFO] [1772230800.904025464] [cylinder_mission_node]: This cylinder matches a previously seen one. Mission done, landing.
[python3-2] [INFO] [1772230807.772779606] [cylinder_mission_node]: Updated Marker 1: x=0.87, y=-4.96, z=8.07
[python3-2] [INFO] [1772230807.830749622] [cylinder_mission_node]: Updated Marker 1: x=0.9, y=-4.94, z=8.2
[python3-2] [INFO] [1772230807.871138453] [cylinder_mission_node]: Updated Marker 1: x=0.9, y=-4.85, z=8.19
[python3-2] [INFO] [1772230807.938115764] [cylinder_mission_node]: Updated Marker 1: x=0.91, y=-4.84, z=8.34
[python3-2] [INFO] [1772230807.998419481] [cylinder_mission_node]: Updated Marker 1: x=0.91, y=-4.79, z=8.43
[python3-2] [INFO] [1772230808.060044961] [cylinder_mission_node]: Updated Marker 1: x=0.92, y=-4.76, z=8.52
[python3-2] [INFO] [1772230808.108734240] [cylinder_mission_node]: Updated Marker 1: x=0.91, y=-4.71, z=8.58
[python3-2] [INFO] [1772230808.174072287] [cylinder_mission_node]: Updated Marker 1: x=0.9, y=-4.64, z=8.6
[python3-2] [INFO] [1772230808.237099983] [cylinder_mission_node]: Updated Marker 1: x=0.86, y=-4.47, z=8.45
[python3-2] [INFO] [1772230808.298821744] [cylinder_mission_node]: Updated Marker 1: x=0.89, y=-4.64, z=8.95
[python3-2] [INFO] [1772230808.361145019] [cylinder_mission_node]: Updated Marker 1: x=0.87, y=-4.57, z=8.97
[python3-2] [INFO] [1772230808.420023130] [cylinder_mission_node]: Updated Marker 1: x=0.85, y=-4.52, z=9.02
[python3-2] [INFO] [1772230808.489355672] [cylinder_mission_node]: Updated Marker 1: x=0.8, y=-4.31, z=8.77
[python3-2] [INFO] [1772230808.548677266] [cylinder_mission_node]: Updated Marker 1: x=0.81, y=-4.43, z=9.15
[python3-2] [INFO] [1772230808.614939281] [cylinder_mission_node]: Updated Marker 1: x=0.79, y=-4.47, z=9.41
[python3-2] [INFO] [1772230808.666684782] [cylinder_mission_node]: Updated Marker 1: x=0.76, y=-4.41, z=9.4
[python3-2] [INFO] [1772230808.736701752] [cylinder_mission_node]: Updated Marker 1: x=0.73, y=-4.32, z=9.4
[python3-2] [INFO] [1772230808.796708679] [cylinder_mission_node]: Updated Marker 1: x=0.72, y=-4.41, z=9.71
[python3-2] [INFO] [1772230808.865134129] [cylinder_mission_node]: Updated Marker 1: x=0.68, y=-4.35, z=9.72
[python3-2] [INFO] [1772230808.935080756] [cylinder_mission_node]: Updated Marker 1: x=0.66, y=-4.37, z=9.89
[python3-2] [INFO] [1772230809.009193905] [cylinder_mission_node]: Updated Marker 1: x=0.62, y=-4.32, z=9.92
[python3-2] [INFO] [1772230809.050582789] [cylinder_mission_node]: Updated Marker 1: x=0.6, y=-4.35, z=10.11
[python3-2] [INFO] [1772230809.101810360] [cylinder_mission_node]: Updated Marker 1: x=0.55, y=-4.21, z=9.9
[python3-2] [INFO] [1772230809.150892102] [cylinder_mission_node]: Updated Marker 1: x=0.52, y=-4.18, z=9.91
[python3-2] [INFO] [1772230809.210051006] [cylinder_mission_node]: Updated Marker 1: x=0.5, y=-4.31, z=10.34
[python3-2] [INFO] [1772230809.261236378] [cylinder_mission_node]: Updated Marker 1: x=0.46, y=-4.27, z=10.34
[python3-2] [INFO] [1772230809.369070447] [cylinder_mission_node]: Updated Marker 1: x=0.4, y=-4.2, z=10.34
[python3-2] [INFO] [1772230809.425137274] [cylinder_mission_node]: Updated Marker 1: x=0.36, y=-4.16, z=10.35
[python3-2] [INFO] [1772230809.479956616] [cylinder_mission_node]: Updated Marker 1: x=0.34, y=-4.3, z=10.79
[python3-2] [INFO] [1772230809.553760043] [cylinder_mission_node]: Updated Marker 1: x=0.31, y=-4.19, z=10.57
[python3-2] [INFO] [1772230809.586529783] [cylinder_mission_node]: Updated Marker 1: x=0.28, y=-4.25, z=10.81
[python3-2] [INFO] [1772230809.639262455] [cylinder_mission_node]: Updated Marker 1: x=0.25, y=-4.23, z=10.82
[python3-2] [INFO] [1772230809.704776978] [cylinder_mission_node]: Updated Marker 1: x=0.23, y=-4.4, z=11.33
[python3-2] [INFO] [1772230809.746278829] [cylinder_mission_node]: Updated Marker 1: x=0.2, y=-4.31, z=11.19
[python3-2] [INFO] [1772230809.800314149] [cylinder_mission_node]: Updated Marker 1: x=0.17, y=-4.34, z=11.32
[python3-2] [INFO] [1772230809.859906497] [cylinder_mission_node]: Updated Marker 1: x=0.15, y=-4.22, z=11.08
[python3-2] [INFO] [1772230809.918946819] [cylinder_mission_node]: Updated Marker 1: x=0.13, y=-4.35, z=11.47
[python3-2] [INFO] [1772230809.977157794] [cylinder_mission_node]: Updated Marker 1: x=0.13, y=-4.41, z=11.76
[python3-2] [INFO] [1772230810.030310291] [cylinder_mission_node]: Updated Marker 1: x=0.11, y=-4.23, z=11.35
[python3-2] [INFO] [1772230810.078049812] [cylinder_mission_node]: Updated Marker 1: x=0.09, y=-4.36, z=11.76
[python3-2] [INFO] [1772230810.137911305] [cylinder_mission_node]: Updated Marker 1: x=0.07, y=-4.23, z=11.51
[python3-2] [INFO] [1772230810.186654036] [cylinder_mission_node]: Updated Marker 1: x=0.06, y=-4.25, z=11.62
[python3-2] [INFO] [1772230810.255576277] [cylinder_mission_node]: Updated Marker 1: x=0.05, y=-4.38, z=12.09
[python3-2] [INFO] [1772230810.299176322] [cylinder_mission_node]: Updated Marker 1: x=0.03, y=-4.25, z=11.8
[python3-2] [INFO] [1772230810.357698022] [cylinder_mission_node]: Updated Marker 1: x=0.01, y=-4.37, z=12.2
[python3-2] [INFO] [1772230810.411897946] [cylinder_mission_node]: Updated Marker 1: x=-0.01, y=-4.42, z=12.41
[python3-2] [INFO] [1772230810.464881182] [cylinder_mission_node]: Updated Marker 1: x=-0.02, y=-4.19, z=11.8
[python3-2] [INFO] [1772230810.522634851] [cylinder_mission_node]: Updated Marker 1: x=-0.04, y=-4.39, z=12.37
[python3-2] [INFO] [1772230810.607157046] [cylinder_mission_node]: Updated Marker 1: x=-0.05, y=-4.45, z=12.57
[python3-2] [INFO] [1772230810.638815276] [cylinder_mission_node]: Updated Marker 1: x=-0.06, y=-4.22, z=11.94
[python3-2] [INFO] [1772230810.687539546] [cylinder_mission_node]: Updated Marker 1: x=-0.08, y=-4.49, z=12.74
[python3-2] [INFO] [1772230810.741112404] [cylinder_mission_node]: Updated Marker 1: x=-0.09, y=-4.26, z=12.1
[python3-2] [INFO] [1772230810.804539406] [cylinder_mission_node]: Updated Marker 1: x=-0.11, y=-4.5, z=12.72
[python3-2] [INFO] [1772230810.852122727] [cylinder_mission_node]: Updated Marker 1: x=-0.12, y=-4.38, z=12.43
[python3-2] [INFO] [1772230810.907448967] [cylinder_mission_node]: Updated Marker 1: x=-0.14, y=-4.5, z=12.71
[python3-2] [INFO] [1772230810.963054283] [cylinder_mission_node]: Updated Marker 1: x=-0.14, y=-4.38, z=12.41
[python3-2] [INFO] [1772230811.036291456] [cylinder_mission_node]: Updated Marker 1: x=-0.16, y=-4.58, z=12.92
[python3-2] [INFO] [1772230811.086237685] [cylinder_mission_node]: Updated Marker 1: x=-0.17, y=-4.65, z=13.07
[python3-2] [INFO] [1772230811.141822242] [cylinder_mission_node]: Updated Marker 1: x=-0.17, y=-4.49, z=12.58
[python3-2] [INFO] [1772230811.195443060] [cylinder_mission_node]: Updated Marker 1: x=-0.19, y=-4.76, z=13.29
[python3-2] [INFO] [1772230811.196722763] [cylinder_mission_node]: Updated Marker 0: x=-0.54, y=5.67, z=8.96
[python3-2] [INFO] [1772230811.255639943] [cylinder_mission_node]: Updated Marker 1: x=-0.19, y=-4.45, z=12.41
[python3-2] [INFO] [1772230811.256844693] [cylinder_mission_node]: Updated Marker 0: x=-0.54, y=5.63, z=8.95
[python3-2] [INFO] [1772230811.308974471] [cylinder_mission_node]: Updated Marker 1: x=-0.19, y=-4.52, z=12.58
[python3-2] [INFO] [1772230811.309694611] [cylinder_mission_node]: Updated Marker 0: x=-0.54, y=5.58, z=8.95
[python3-2] [INFO] [1772230811.364706492] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.8, z=13.29
[python3-2] [INFO] [1772230811.425460015] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.8, z=13.29
[python3-2] [INFO] [1772230811.426181455] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.65, z=9.21
[python3-2] [INFO] [1772230811.473042345] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.75, z=13.06
[python3-2] [INFO] [1772230811.474024488] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.61, z=9.21
[python3-2] [INFO] [1772230811.545675525] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.59, z=12.59
[python3-2] [INFO] [1772230811.546387201] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.57, z=9.22
[python3-2] [INFO] [1772230811.599856704] [cylinder_mission_node]: Updated Marker 1: x=-0.24, y=-4.85, z=13.29
[python3-2] [INFO] [1772230811.600842271] [cylinder_mission_node]: Updated Marker 0: x=-0.56, y=5.59, z=9.31
[python3-2] [INFO] [1772230811.664236098] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.62, z=12.59
[python3-2] [INFO] [1772230811.708071195] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-4.76, z=12.93
[python3-2] [INFO] [1772230811.773701548] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-4.77, z=12.93
[python3-2] [INFO] [1772230811.774846633] [cylinder_mission_node]: Updated Marker 0: x=-0.56, y=5.58, z=9.5
[python3-2] [INFO] [1772230811.835941964] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-4.79, z=12.93
[python3-2] [INFO] [1772230811.836662187] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.49, z=9.42
[python3-2] [INFO] [1772230811.902757261] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.73, z=12.75
[python3-2] [INFO] [1772230811.903871464] [cylinder_mission_node]: Updated Marker 0: x=-0.56, y=5.5, z=9.49
[python3-2] [INFO] [1772230811.949740945] [cylinder_mission_node]: Updated Marker 1: x=-0.24, y=-4.95, z=13.29
[python3-2] [INFO] [1772230811.950727618] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.41, z=9.4
[python3-2] [INFO] [1772230812.010350428] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-4.83, z=12.93
[python3-2] [INFO] [1772230812.057505907] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.78, z=12.75
[python3-2] [INFO] [1772230812.058775740] [cylinder_mission_node]: Updated Marker 0: x=-0.58, y=5.62, z=9.9
[python3-2] [INFO] [1772230812.110993122] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-4.92, z=13.09
[python3-2] [INFO] [1772230812.112205628] [cylinder_mission_node]: Updated Marker 0: x=-0.56, y=5.42, z=9.61
[python3-2] [INFO] [1772230812.164755156] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-5.15, z=13.67
[python3-2] [INFO] [1772230812.224886442] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-5.17, z=13.67
[python3-2] [INFO] [1772230812.276963619] [cylinder_mission_node]: Updated Marker 1: x=-0.23, y=-5.19, z=13.67
[python3-2] [INFO] [1772230812.277672753] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.37, z=9.7
[python3-2] [INFO] [1772230812.327186008] [cylinder_mission_node]: Updated Marker 1: x=-0.22, y=-4.98, z=13.1
[python3-2] [INFO] [1772230812.328492993] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.34, z=9.7
[python3-2] [INFO] [1772230812.381785806] [cylinder_mission_node]: Updated Marker 1: x=-0.21, y=-4.94, z=12.93
[python3-2] [INFO] [1772230812.382559663] [cylinder_mission_node]: Updated Marker 0: x=-0.55, y=5.3, z=9.7
[python3-2] [INFO] [1772230812.442662248] [cylinder_mission_node]: Updated Marker 1: x=-0.21, y=-4.96, z=12.93
[python3-2] [INFO] [1772230812.503223726] [cylinder_mission_node]: Updated Marker 1: x=-0.21, y=-4.97, z=12.93
[python3-2] [INFO] [1772230812.542789651] [cylinder_mission_node]: Updated Marker 1: x=-0.21, y=-5.19, z=13.44
[python3-2] [INFO] [1772230812.543778207] [cylinder_mission_node]: Updated Marker 0: x=-0.57, y=5.49, z=10.22
