[INFO] [launch]: All log files can be found below /home/jatin-satyam/.ros/log/2026-02-27-17-59-26-596205-jatin-satyam-OMEN-by-HP-Gaming-Laptop-16-wf0xxx-8247
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [python3-1]: process started with pid [8251]
[INFO] [python3-2]: process started with pid [8252]
[python3-2] [INFO] [1772240367.532331806] [cylinder_mission_node]: Camera intrinsics received.
[python3-2] [INFO] [1772240367.533708392] [cylinder_mission_node]: Locked battery_at_mission_start: 0.9889
[python3-2] [INFO] [1772240367.534073947] [cylinder_mission_node]: Intrinsics and battery OK. Moving to ARM_TAKEOFF.
[python3-2] [INFO] [1772240368.113194124] [cylinder_mission_node]: Offboard mode command sent
[python3-2] [INFO] [1772240368.113684574] [cylinder_mission_node]: Arm command sent
[python3-2] [INFO] [1772240375.314178836] [cylinder_mission_node]: Vertical takeoff complete. Proceeding to circle entry point.
[python3-2] [INFO] [1772240378.421772323] [cylinder_mission_node]: Reached circle entry point. Switching to CIRCLE.
[python3-2] [INFO] [1772240391.372323564] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772240394.518432121] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772240401.613274669] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772240401.614171351] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.74 m, Height=7.02 m
[python3-2] [INFO] [1772240401.614825352] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772240401.615483269] [cylinder_mission_node]: Rejoining circle from theta = -2.57 rad
[python3-2] [INFO] [1772240407.641602527] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772240411.415507591] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772240418.514155209] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772240418.515162651] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.05 m, Height=10.05 m
[python3-2] [INFO] [1772240418.516069733] [cylinder_mission_node]: New cylinder dimension recorded. Resuming circle flight.
[python3-2] [INFO] [1772240418.516879416] [cylinder_mission_node]: Rejoining circle from theta = 2.71 rad
[python3-2] [INFO] [1772240444.700628513] [cylinder_mission_node]: Detected potential cylinder. Switching to SERVO state.
[python3-2] [INFO] [1772240449.419205786] [cylinder_mission_node]: Reached ~15m from cylinder. Going to HOVER to measure.
[python3-2] [INFO] [1772240456.514047995] [cylinder_mission_node]: 7s hover done. Checking measurement.
[python3-2] [INFO] [1772240456.515275231] [cylinder_mission_node]: [Cylinder Dimensions] Width=1.76 m, Height=7.03 m
[python3-2] [INFO] [1772240456.516279869] [cylinder_mission_node]: This cylinder matches a previously seen one. Mission done, landing.
[python3-2] [INFO] [1772240460.558535014] [cylinder_mission_node]: Updated Marker 1: x=0.82, y=-5.35, z=8.58
[python3-2] [INFO] [1772240460.582061102] [cylinder_mission_node]: Updated Marker 1: x=0.79, y=-5.31, z=8.66
[python3-2] [INFO] [1772240460.617499388] [cylinder_mission_node]: Updated Marker 1: x=0.77, y=-5.32, z=8.81
[python3-2] [INFO] [1772240460.650915703] [cylinder_mission_node]: Updated Marker 1: x=0.75, y=-5.34, z=8.98
[python3-2] [INFO] [1772240460.688614427] [cylinder_mission_node]: Updated Marker 1: x=0.71, y=-5.25, z=8.97
[python3-2] [INFO] [1772240460.720516362] [cylinder_mission_node]: Updated Marker 1: x=0.69, y=-5.26, z=9.14
[python3-2] [INFO] [1772240460.754441143] [cylinder_mission_node]: Updated Marker 1: x=0.67, y=-5.25, z=9.25
[python3-2] [INFO] [1772240460.785784415] [cylinder_mission_node]: Updated Marker 1: x=0.64, y=-5.22, z=9.34
[python3-2] [INFO] [1772240460.819984833] [cylinder_mission_node]: Updated Marker 1: x=0.64, y=-5.4, z=9.83
[python3-2] [INFO] [1772240460.853143524] [cylinder_mission_node]: Updated Marker 1: x=0.6, y=-5.22, z=9.62
[python3-2] [INFO] [1772240460.885273338] [cylinder_mission_node]: Updated Marker 1: x=0.6, y=-5.37, z=10.03
[python3-2] [INFO] [1772240460.916861981] [cylinder_mission_node]: Updated Marker 1: x=0.55, y=-5.18, z=9.82
[python3-2] [INFO] [1772240460.949990886] [cylinder_mission_node]: Updated Marker 1: x=0.54, y=-5.22, z=10.03
[python3-2] [INFO] [1772240461.001209447] [cylinder_mission_node]: Updated Marker 1: x=0.54, y=-5.43, z=10.57
[python3-2] [INFO] [1772240461.017442485] [cylinder_mission_node]: Updated Marker 1: x=0.49, y=-5.13, z=10.13
[python3-2] [INFO] [1772240461.069272573] [cylinder_mission_node]: Updated Marker 1: x=0.47, y=-5.17, z=10.36
[python3-2] [INFO] [1772240461.085905324] [cylinder_mission_node]: Updated Marker 1: x=0.45, y=-5.11, z=10.36
[python3-2] [INFO] [1772240461.119510628] [cylinder_mission_node]: Updated Marker 1: x=0.44, y=-5.11, z=10.48
[python3-2] [INFO] [1772240461.157809747] [cylinder_mission_node]: Updated Marker 1: x=0.44, y=-5.17, z=10.72
[python3-2] [INFO] [1772240461.209752053] [cylinder_mission_node]: Updated Marker 1: x=0.42, y=-5.05, z=10.59
[python3-2] [INFO] [1772240461.223537214] [cylinder_mission_node]: Updated Marker 1: x=0.42, y=-5.12, z=10.84
[python3-2] [INFO] [1772240461.257392916] [cylinder_mission_node]: Updated Marker 1: x=0.42, y=-5.14, z=10.97
[python3-2] [INFO] [1772240461.301902162] [cylinder_mission_node]: Updated Marker 1: x=0.42, y=-5.15, z=11.1
